policy_id,month,avg_monthly_profit,avg_cumulative_profit,avg_revenue,avg_cost,avg_utilization,avg_idle,avg_short,avg_internal_ratio
P0,1,797.015501,797.015501,1366.403143,569.387642,0.351473684,49.288000,0.000000,1.000000000
P0,2,826.801980,1623.817481,1400.174714,573.372734,0.385825188,46.677286,0.000000,1.000000000
P0,3,877.904261,2501.721742,1457.569857,579.665596,0.352738722,49.191857,0.000000,1.000000000
P0,4,968.747354,3470.469096,1545.144143,576.396789,0.398381579,45.723000,0.000000,1.000000000
P0,5,1095.049231,4565.518327,1665.046052,569.996821,0.448153206,41.940356,0.000000,0.999835789
P0,6,1274.718827,5840.237154,1839.949260,565.230432,0.508542548,37.350766,0.000000,0.999344685
P0,7,1516.230539,7356.467693,2080.015752,563.785213,0.580274180,31.902361,0.000000,0.997235444
P0,8,1861.041550,9217.509243,2422.977544,561.935994,0.661525710,25.843592,0.000000,0.990673798
P0,9,2194.431637,11411.940880,2769.229463,574.797827,0.729264645,20.963886,0.000000,0.979696922
P0,10,2505.518827,13917.459707,3098.451526,592.932700,0.771111696,18.119634,0.000505,0.963207355
P0,11,2777.501772,16694.961479,3398.424690,620.922917,0.800181715,16.285974,0.056929,0.942714726
P0,12,2964.736969,19659.698448,3613.201815,648.464846,0.816540965,15.298087,0.196188,0.921674127
P0,13,3099.274819,22758.973267,3756.678408,657.403589,0.824682433,14.808814,0.351225,0.761742658
P0,14,3220.615870,25979.589137,3890.039444,669.423574,0.833110260,14.284499,0.639083,0.740614695
P0,15,3263.250016,29242.839153,3947.400365,684.150349,0.839899093,13.835351,0.964678,0.716101474
P0,16,3382.712259,32625.551412,4083.002048,700.289789,0.847472478,13.311708,1.447875,0.687566088
P0,17,3358.389195,35983.940607,4054.849251,696.460056,0.845748216,13.434400,1.237545,0.660219859
P0,18,3362.437780,39346.378387,4050.490721,688.052941,0.843250382,13.609411,0.920029,0.635777364
P0,19,3169.391483,42515.769870,3833.950215,664.558732,0.834436914,14.158973,0.414088,0.610646474
P0,20,3190.493940,45706.263810,3851.603842,661.109903,0.832658498,14.256376,0.296550,0.587972223
P0,21,3289.605187,48995.868997,3963.636742,674.031554,0.836653005,13.975828,0.490864,0.565408865
P0,22,3228.201215,52224.070212,3894.177635,665.976420,0.833697447,14.160154,0.341518,0.543114602
P0,23,3139.456441,55363.526653,3796.633540,657.177099,0.827945666,14.539325,0.157399,0.520644773
P0,24,3166.613924,58530.140578,3835.560400,668.946475,0.835064290,14.095127,0.226259,0.500621730
P0,25,3136.252613,61666.393191,3813.195043,676.942430,0.836811297,13.997959,0.235606,0.279294212
P0,26,2972.192493,64638.585684,3644.742429,672.549936,0.830635236,14.391819,0.166852,0.265239416
P0,27,3001.353533,67639.939217,3675.712158,674.358625,0.831946312,14.318614,0.166624,0.261867250
P0,28,3043.471203,70683.410420,3718.506124,675.034921,0.832310957,14.300616,0.121411,0.260885133
P0,29,3077.021024,73760.431443,3750.824604,673.803581,0.830939604,14.399573,0.101901,0.261444441
P0,30,3084.705819,76845.137262,3750.734628,666.028809,0.830288964,14.437190,0.078041,0.263163270
P0,31,3144.896768,79990.034030,3812.011508,667.114740,0.833553192,14.203761,0.164241,0.264641692
P0,32,3127.574625,83117.608655,3795.647841,668.073215,0.835116985,14.071230,0.257575,0.264218240
P0,33,3255.574133,86373.182788,3931.831810,676.257677,0.844561772,13.426891,0.364219,0.262907301
P0,34,3293.462042,89666.644830,3977.392848,683.930806,0.849013580,13.122962,0.477057,0.259177758
P0,35,3490.364126,93157.008956,4190.372726,700.008600,0.857337640,12.539963,0.760232,0.254529991
P0,36,3684.679301,96841.688257,4389.910667,705.231366,0.861142618,12.299662,0.806686,0.249198224
P0,37,3833.921080,100675.609336,4530.908988,696.987909,0.857832280,12.540018,0.649701,0.193717399
P0,38,3954.987865,104630.597201,4637.501865,682.514000,0.853122131,12.856545,0.502189,0.191613370
P0,39,3948.072713,108578.669914,4615.033066,666.960353,0.842647328,13.567597,0.191363,0.190462793
P0,40,3829.548132,112408.218046,4481.237925,651.689793,0.825675253,14.703260,0.042995,0.190780374
P0,41,3789.831043,116198.049089,4444.963848,655.132805,0.824804642,14.754942,0.007476,0.195760522
P0,42,3764.249447,119962.298535,4416.461353,652.211907,0.828412158,14.524064,0.004626,0.203774363
P0,43,3769.159341,123731.457876,4434.148873,664.989532,0.830323470,14.407887,0.005983,0.213238083
P0,44,3760.723923,127492.181799,4426.742136,666.018213,0.830263122,14.430287,0.005150,0.223465198
P0,45,3706.170169,131198.351968,4370.206660,664.036491,0.828706507,14.555461,0.003971,0.234174464
