policy_id,baseline_policy,paired_mean_difference,relative_effect_percent,clustered_standard_error,ci95_lower,ci95_upper,scenario_effective_n,run_level_win_fraction
P0,P0,0.000000,0.000000,0.000000,0.000000,0.000000,70.000,0.000000000
P1,P0,988.360964,0.650716,303.534490,393.433364,1583.288565,70.000,0.537857143
P2,P0,246.358817,0.162197,246.088235,-235.974124,728.691758,70.000,0.514285714
P3,P0,657.970844,0.433194,288.556452,92.400199,1223.541489,70.000,0.550000000
P4,P0,-29608.316121,-19.493476,770.383351,-31118.267490,-28098.364753,70.000,0.000000000
P5,P0,695.905281,0.458169,397.393517,-82.986012,1474.796573,70.000,0.528571429
P6,P0,-749.507644,-0.493460,383.878735,-1501.909964,2.894676,70.000,0.459285714
P7,P0,-9759.141128,-6.425208,554.911114,-10846.766910,-8671.515345,70.000,0.079285714
P8,P0,1993.461648,1.312452,272.987363,1458.406418,2528.516879,70.000,0.650714286
P9,P0,-43649.966782,-28.738195,914.957070,-45443.282639,-41856.650926,70.000,0.000000000
