annual_discount_rate,internal_ratio_penalty,policy_id,avg_objective,std_objective,p10_objective,cvar_10pct,rank,analysis_type
0.00,0.5,P0,176338.207963,25412.120515,148251.942893,141669.068616,6,fixed-decision evaluation sensitivity
0.00,0.5,P1,177438.745049,27031.354135,146268.252585,141016.705292,2,fixed-decision evaluation sensitivity
0.00,0.5,P2,176700.709025,26049.380988,147087.282219,140648.747811,5,fixed-decision evaluation sensitivity
0.00,0.5,P3,177150.145300,25719.629004,147418.407412,141333.911884,4,fixed-decision evaluation sensitivity
0.00,0.5,P4,141623.237699,20251.299884,117960.518080,111224.507157,9,fixed-decision evaluation sensitivity
0.00,0.5,P5,177183.060377,27748.605900,144392.481958,138102.831139,3,fixed-decision evaluation sensitivity
0.00,0.5,P6,175384.006406,25732.448745,144824.430656,138133.228184,7,fixed-decision evaluation sensitivity
0.00,0.5,P7,166158.706596,22702.891852,140907.540848,135152.780618,8,fixed-decision evaluation sensitivity
0.00,0.5,P8,178726.200200,27070.553475,148125.557003,140996.427382,1,fixed-decision evaluation sensitivity
0.00,0.5,P9,125037.950875,19681.654100,100992.968953,92971.360144,10,fixed-decision evaluation sensitivity
0.00,1.0,P0,173401.207632,25701.277561,144921.284549,138209.277284,6,fixed-decision evaluation sensitivity
0.00,1.0,P1,174671.010042,27378.925756,143231.718608,137687.209556,2,fixed-decision evaluation sensitivity
0.00,1.0,P2,173763.377651,26304.621453,143366.709032,137260.914736,5,fixed-decision evaluation sensitivity
0.00,1.0,P3,174220.993301,25994.753106,144335.889342,137863.867235,4,fixed-decision evaluation sensitivity
0.00,1.0,P4,138740.683995,20574.636856,114342.506357,107500.933891,9,fixed-decision evaluation sensitivity
0.00,1.0,P5,174351.935163,28034.714695,141232.735553,134838.418740,3,fixed-decision evaluation sensitivity
0.00,1.0,P6,172564.278654,26002.134871,141550.959635,134870.928344,7,fixed-decision evaluation sensitivity
0.00,1.0,P7,163035.078608,22913.200102,137343.321406,131321.832943,8,fixed-decision evaluation sensitivity
