scenario_group,policy_id,project_type,proposal_rate,start_rate,avg_start_month_if_started,avg_discounted_gross_revenue,avg_resource_demand_fte_months
BASE,P0,EXTERNAL,0.824545455,0.429318182,33.781260,1098.439763,20.742975
BASE,P0,INTERNAL,0.000000000,0.379062500,32.706843,500.425741,9.415142
BASE,P1,EXTERNAL,0.874545455,0.443227273,33.717773,1159.461104,22.030124
BASE,P1,INTERNAL,0.000000000,0.315562500,32.229352,429.839384,7.855900
BASE,P2,EXTERNAL,0.888181818,0.463090909,33.891735,1147.205326,22.198390
BASE,P2,INTERNAL,0.000000000,0.354312500,32.740871,461.815659,8.727952
BASE,P3,EXTERNAL,0.851818182,0.438454545,33.714597,1103.968774,21.168005
BASE,P3,INTERNAL,0.000000000,0.407750000,32.792612,524.329728,10.236704
BASE,P4,EXTERNAL,0.591818182,0.314409091,34.222929,812.950146,14.170861
BASE,P4,INTERNAL,0.000000000,0.331562500,27.261828,478.269029,9.318157
BASE,P5,EXTERNAL,0.933636364,0.473454545,33.523906,1185.356590,22.787237
BASE,P5,INTERNAL,0.000000000,0.315937500,32.577250,412.528465,7.657462
BASE,P6,EXTERNAL,0.904545455,0.464863636,33.584727,1129.267988,21.638564
BASE,P6,INTERNAL,0.000000000,0.426062500,33.300425,479.270758,10.013764
BASE,P7,EXTERNAL,0.830909091,0.425818182,35.564261,1041.553976,20.190110
BASE,P7,INTERNAL,0.000000000,0.319375000,31.820939,420.473720,7.903978
BASE,P8,EXTERNAL,0.905454545,0.463000000,33.892598,1160.804252,22.292706
BASE,P8,INTERNAL,0.000000000,0.357500000,32.677448,460.652997,8.769922
BASE,P9,EXTERNAL,0.476363636,0.261045455,33.398050,713.924931,11.958115
BASE,P9,INTERNAL,0.000000000,0.275562500,27.124972,411.285863,7.718088
COST_PRESSURE,P0,EXTERNAL,0.844545455,0.404363636,33.534285,1051.413427,20.223534
COST_PRESSURE,P0,INTERNAL,0.000000000,0.385125000,33.333009,497.452604,9.302471
COST_PRESSURE,P1,EXTERNAL,0.879090909,0.409954545,33.510811,1087.306055,21.016376
COST_PRESSURE,P1,INTERNAL,0.000000000,0.342625000,33.440350,459.783731,8.310857
COST_PRESSURE,P2,EXTERNAL,0.883636364,0.424909091,33.729247,1070.604471,20.952921
COST_PRESSURE,P2,INTERNAL,0.000000000,0.369562500,33.817859,472.505669,8.871851
COST_PRESSURE,P3,EXTERNAL,0.857272727,0.408681818,33.683572,1042.661998,20.127275
COST_PRESSURE,P3,INTERNAL,0.000000000,0.415125000,33.902590,526.157744,10.234456
COST_PRESSURE,P4,EXTERNAL,0.591818182,0.290318182,34.131047,754.119923,13.362859
