project_id,project_type,p0_start_rate,p8_start_rate,start_rate_difference,p0_discounted_gross_revenue,p8_discounted_gross_revenue,discounted_gross_difference
E001,EXTERNAL,0.407142857,0.407142857,0.000000000,72.886765,72.886765,0.000000
E002,EXTERNAL,0.080000000,0.189285714,0.109285714,57.256395,148.843185,91.586790
E003,EXTERNAL,0.342142857,0.385714286,0.043571429,643.982441,725.610123,81.627682
E004,EXTERNAL,0.368571429,0.454285714,0.085714285,592.017637,731.890001,139.872364
E005,EXTERNAL,0.622857143,0.622857143,0.000000000,1213.815362,1213.815362,0.000000
E006,EXTERNAL,0.062857143,0.205714286,0.142857143,80.701531,294.457158,213.755627
E007,EXTERNAL,0.410000000,0.410000000,0.000000000,773.708485,773.708485,0.000000
E008,EXTERNAL,0.427857143,0.447142857,0.019285714,712.952709,744.652867,31.700158
E009,EXTERNAL,0.037857143,0.072857143,0.035000000,156.451583,298.386260,141.934677
E010,EXTERNAL,0.640714286,0.640714286,0.000000000,748.854433,748.854433,0.000000
E011,EXTERNAL,0.492142857,0.492142857,0.000000000,165.524692,165.524692,0.000000
E012,EXTERNAL,0.395714286,0.400714286,0.005000000,792.036429,802.626032,10.589603
E013,EXTERNAL,0.642142857,0.642142857,0.000000000,1625.524707,1625.524707,0.000000
E014,EXTERNAL,0.591428571,0.591428571,0.000000000,2034.398413,2034.398413,0.000000
E015,EXTERNAL,0.370000000,0.430714286,0.060714286,451.130794,525.259306,74.128512
E016,EXTERNAL,0.116428571,0.235000000,0.118571429,106.234699,236.463285,130.228586
E017,EXTERNAL,0.340000000,0.355000000,0.015000000,611.091499,638.275894,27.184395
E018,EXTERNAL,0.612142857,0.612142857,0.000000000,1085.173988,1085.173988,0.000000
E019,EXTERNAL,0.261428571,0.301428571,0.040000000,983.156687,1134.166002,151.009315
E020,EXTERNAL,0.380000000,0.392142857,0.012142857,694.769297,716.925841,22.156544
E021,EXTERNAL,0.277142857,0.282142857,0.005000000,770.339749,787.327217,16.987468
E022,EXTERNAL,0.190714286,0.307142857,0.116428571,273.705934,438.538436,164.832502
E023,EXTERNAL,0.331428571,0.409285714,0.077857143,292.531358,361.891954,69.360596
