policy_id,policy_name_ko,policy_name_en,avg_objective,std_objective,worst_10pct_objective,fail_rate,avg_win_rate,avg_utilization,avg_idle,avg_short,avg_internal_ratio_violation,avg_runtime_ms
P0,균형 기준 정책,Balanced baseline,151888.336079,22404.460054,121349.519110,0.742857143,0.495725672,0.772400216,1148.385187,13.054128,1.035714,6.709
P1,수익성 우선 정책,Profit-priority,152876.697043,23912.802855,120661.100709,0.772142857,0.484757226,0.772403230,1146.872391,15.694055,1.020714,8.004
P2,수주확률 우선 정책,Win-probability priority,152134.694895,22940.188389,120408.378875,0.776428571,0.497978864,0.778310331,1124.899438,15.077036,1.025000,7.621
P3,전문성 우선 정책,Expertise-priority,152546.306922,22650.847453,121031.427858,0.756428571,0.491610173,0.777256595,1134.093873,12.216157,1.032857,7.881
P4,인력 안정성 우선 정책,Workforce-stability priority,122280.019957,17804.643999,95323.748834,0.981428571,0.507920957,0.668439995,1565.534211,26.829473,1.185714,10.141
P5,외부성장 우선 정책,External-growth priority,152584.241359,24472.605318,118210.452882,0.800714286,0.482891863,0.772299658,1159.759202,16.775975,1.017857,8.267
P6,내부거래 비율 관리 정책,Internal-ratio management,151138.828435,22680.934540,118376.790933,0.787857143,0.488612500,0.779428342,1128.836621,15.526572,1.024286,7.738
P7,사업 단계형 정책,Business-stage policy,142129.194951,19697.044019,115014.878625,0.648571429,0.489481539,0.754139639,1226.503140,11.296876,1.169286,7.979
P8,선제충원형 정책,Preemptive hiring,153881.797727,23826.875567,120696.045541,0.758571429,0.488084485,0.771697726,1181.572836,11.915341,1.022143,6.854
P9,위험회피 강건 정책,Risk-averse robust,108238.369297,17434.554321,79536.670487,0.766428571,0.523291271,0.606660056,1826.462403,11.498895,1.201429,7.410
