scenario_group,policy_id,avg_objective,std_objective,fail_rate,avg_win_rate,avg_short,avg_idle,rank_in_group
BASE,P0,158592.497605,11948.940727,0.805000000,0.521023139,11.499548,1131.906725,7
BASE,P1,159982.550209,12980.260994,0.825000000,0.506979887,14.336958,1125.872548,5
BASE,P2,160354.676565,12939.131614,0.885000000,0.521628716,14.965346,1097.162795,4
BASE,P3,160404.036721,12575.588334,0.840000000,0.515085565,12.138633,1104.174202,3
BASE,P4,128455.893693,9338.251934,1.000000000,0.531564994,26.482082,1539.539118,9
BASE,P5,160590.754643,12736.497353,0.895000000,0.507310163,15.941820,1135.528209,2
BASE,P6,159586.564277,12427.076088,0.880000000,0.514502032,15.319627,1094.921138,6
BASE,P7,146430.721081,10717.903828,0.625000000,0.512925665,8.536878,1214.323652,8
BASE,P8,161139.972567,12782.574164,0.800000000,0.511856641,11.336138,1167.060866,1
BASE,P9,113377.357471,10347.019760,0.840000000,0.548745616,10.476623,1814.362931,10
HIGH_WIN,P0,193851.210425,13544.833075,0.985000000,0.653882682,23.332228,1027.882762,6
HIGH_WIN,P1,197680.897911,14058.157386,0.995000000,0.645050835,30.354897,1034.846072,2
HIGH_WIN,P2,194216.593028,13045.003551,0.980000000,0.655829208,26.635590,1010.724884,4
HIGH_WIN,P3,194084.469758,13795.060149,0.985000000,0.649172676,21.714801,1025.293224,5
HIGH_WIN,P4,154085.715767,10713.117176,1.000000000,0.664700466,43.989889,1422.403405,9
HIGH_WIN,P5,197403.448330,14426.537487,0.990000000,0.642305477,29.722929,1054.913954,3
HIGH_WIN,P6,191689.989172,14069.403290,0.980000000,0.647139589,26.049377,1025.935502,7
HIGH_WIN,P7,178710.558197,12231.461396,0.945000000,0.647731250,20.341848,1139.113429,8
HIGH_WIN,P8,198113.472846,14243.116968,0.975000000,0.648055416,20.561581,1100.212336,1
HIGH_WIN,P9,137069.829624,9759.997015,1.000000000,0.680121831,20.408268,1666.075402,10
LOW_WIN,P0,126815.249683,8520.548183,0.325000000,0.360932818,2.442169,1286.240974,1
LOW_WIN,P1,126104.039388,8493.917433,0.330000000,0.352407203,2.412108,1293.760519,4
LOW_WIN,P2,125548.232757,8038.852183,0.320000000,0.363435234,2.513502,1274.556619,5
LOW_WIN,P3,126153.568117,8257.398099,0.290000000,0.355542563,2.073987,1278.503444,3
LOW_WIN,P4,102259.168819,9666.940041,0.910000000,0.377458477,11.177093,1741.964394,9
LOW_WIN,P5,123457.885271,8574.252162,0.290000000,0.349349962,2.326919,1313.189614,7
LOW_WIN,P6,124414.921206,9235.188388,0.320000000,0.354942638,2.941663,1263.874917,6
