policy_id,checkpoint_month,avg_cum_profit,std_cum_profit,p10_cum_profit,fail_rate,avg_win_rate,avg_utilization
P0,12,13535.545595,2761.451204,10101.890088,0.004285714,0.000000000,0.571910732
P0,24,49697.424473,7602.607785,41305.370674,0.564285714,0.000000000,0.712049743
P0,36,83656.843659,12657.995921,69812.655039,0.692142857,0.000000000,0.756748765
P0,48,122232.924396,17951.230632,102399.642120,0.739285714,0.000000000,0.776844375
P0,60,151888.336079,22404.460054,127085.794178,0.742857143,0.000000000,0.772400216
P1,12,13750.673117,2999.375400,10081.869657,0.007142857,0.000000000,0.571053699
P1,24,49847.220764,8286.213328,40348.825327,0.590000000,0.000000000,0.711308168
P1,36,83241.824145,13773.655611,67747.588123,0.706428571,0.000000000,0.754099017
P1,48,121756.994581,19426.346068,99618.272732,0.765000000,0.000000000,0.772587700
P1,60,152876.697043,23912.802855,125392.103514,0.772142857,0.000000000,0.772403230
P2,12,13492.410452,2708.755335,10176.197968,0.005000000,0.000000000,0.573041508
P2,24,49583.327541,7705.812092,40776.932326,0.599285714,0.000000000,0.714110330
P2,36,83390.182947,12989.529178,68763.255724,0.726428571,0.000000000,0.759162015
P2,48,121675.709322,18555.969189,100198.695897,0.772142857,0.000000000,0.778564651
P2,60,152134.694895,22940.188389,125487.978278,0.776428571,0.000000000,0.778310331
P3,12,13410.775375,2750.193302,10061.765997,0.002857143,0.000000000,0.571727860
P3,24,49575.681265,7578.149936,40962.816679,0.615000000,0.000000000,0.714991233
P3,36,83962.633760,12698.734656,69692.898401,0.704285714,0.000000000,0.759847711
P3,48,122133.173087,17985.797920,101731.844151,0.752142857,0.000000000,0.780469494
P3,60,152546.306922,22650.847453,126590.933330,0.756428571,0.000000000,0.777256595
P4,12,10645.036798,2367.740759,7945.506270,0.075714286,0.000000000,0.514375338
P4,24,42414.085410,6041.894293,35559.363329,0.925714286,0.000000000,0.659634603
P4,36,72071.993140,9689.819392,61309.279993,0.950714286,0.000000000,0.695331512
P4,48,105483.200962,13740.741889,89944.505750,0.981428571,0.000000000,0.712660347
P4,60,122280.019957,17804.643999,101332.342576,0.981428571,0.000000000,0.668439995
P5,12,13477.413703,2853.198411,9966.578575,0.002142857,0.000000000,0.571618496
P5,24,49473.405941,8301.450638,39871.507743,0.597857143,0.000000000,0.712589944
P5,36,83410.287135,14146.140208,67155.785809,0.745714286,0.000000000,0.757010688
P5,48,121436.660508,19851.327637,98104.327703,0.795000000,0.000000000,0.773314663
P5,60,152584.241359,24472.605318,123783.904757,0.800714286,0.000000000,0.772299658
P6,12,13107.639366,2748.766892,9704.438228,0.003571429,0.000000000,0.567546026
P6,24,49285.128544,7675.144741,40288.030855,0.605000000,0.000000000,0.713071713
P6,36,83713.270346,12917.030179,68862.127644,0.732857143,0.000000000,0.760132561
P6,48,121512.766180,18378.058662,99883.597660,0.785000000,0.000000000,0.781792520
P6,60,151138.828435,22680.934540,124116.030720,0.787857143,0.000000000,0.779428342
P7,12,9972.714519,1708.796786,7853.437994,0.000000000,0.000000000,0.515020971
P7,24,41050.169101,4849.322562,35703.159718,0.185000000,0.000000000,0.666477547
P7,36,74155.022034,9359.056267,64394.971686,0.529285714,0.000000000,0.725785965
P7,48,112151.771574,14862.147734,95849.869475,0.633571429,0.000000000,0.753524199
P7,60,142129.194951,19697.044019,120061.550574,0.648571429,0.000000000,0.754139639
P8,12,13576.383565,2769.099727,10165.286942,0.002142857,0.000000000,0.573002365
P8,24,49727.160120,7762.971203,40718.089824,0.565714286,0.000000000,0.712711346
P8,36,84051.496553,13305.449984,69107.270743,0.701428571,0.000000000,0.756692202
P8,48,122826.918493,19107.370384,100982.660712,0.750000000,0.000000000,0.774528124
P8,60,153881.797727,23826.875567,126751.156354,0.758571429,0.000000000,0.771697726
P9,12,9876.461537,2141.471772,7370.277468,0.003571429,0.000000000,0.495832764
P9,24,39798.103070,6228.618599,32148.858251,0.650714286,0.000000000,0.636072683
P9,36,66433.024864,10292.558507,53894.211782,0.684285714,0.000000000,0.658653341
P9,48,96038.729990,14432.557328,78473.882538,0.766428571,0.000000000,0.662387347
P9,60,108238.369297,17434.554321,86971.625971,0.766428571,0.000000000,0.606660056
